build_id,as_of_date,value_segment,category_name,customers,units,merchandise_gmv_brl,coverage_status
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,housewares,1812,2059,121691.04,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,auto,928,993,61873.72,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,furniture_decor,1156,1247,36654.87,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,garden_tools,1596,2340,371487.67,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,perfumery,534,582,14067.59,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,telephony,551,691,32714.17,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,electronics,1729,1805,34179.85,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,cool_stuff,2434,2553,548967.33,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,watches_gifts,3795,4142,1076128.19,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,stationery,912,1034,147443.7,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,sports_leisure,3595,4373,759042.19,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,books_general_interest,185,212,33291.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,small_appliances,162,176,10796.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,bed_bath_table,4078,5610,732048.84,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,health_beauty,1871,1977,52423.7,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,home_appliances,237,265,59986.79,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,pet_shop,525,568,37684.32,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,fashion_bags_accessories,540,551,16420.66,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,home_appliances_2,196,201,106777.06,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,fashion_shoes,86,102,14230.37,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,home_construction,145,176,10694.24,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,baby,489,511,14766.45,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,furniture_living_room,98,108,6901.67,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,costruction_tools_garden,63,64,1797.14,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,musical_instruments,95,95,2976.19,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,kitchen_dining_laundry_garden_furniture,146,173,40452.33,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,consoles_games,247,271,16707.17,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,home_confort,149,156,12388.95,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,food,88,131,12142.03,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,unknown,324,363,20615.49,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,audio,110,114,2305.33,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,drinks,125,141,7201.16,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,christmas_supplies,53,62,1234.06,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,costruction_tools_tools,36,38,12978.53,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,construction_tools_lights,41,44,1427.37,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,air_conditioning,31,31,913.06,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,auto,1830,2102,489611.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,toys,815,822,27528.3,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,stationery,881,948,63174.54,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,garden_tools,1428,1508,87348.56,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,computers_accessories,1742,1785,52389.36,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,housewares,2135,2871,443718.34,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,sports_leisure,2115,2352,145239.18,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,construction_tools_construction,170,177,5592.94,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,bed_bath_table,3362,3675,239120.83,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,telephony,734,889,205205.71,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,pet_shop,831,1025,164086.2,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,food,174,191,11937.5,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,home_appliances,161,187,10729.31,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,agro_industry_and_commerce,114,134,67829.75,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,unknown,707,802,144615.1,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,home_confort,216,245,44881.51,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,watches_gifts,1108,1198,73193.96,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,consoles_games,363,401,120270.45,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,kitchen_dining_laundry_garden_furniture,65,71,4004.84,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,cool_stuff,676,713,47474.94,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,fashion_shoes,91,98,6937.25,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,home_construction,302,383,69695.63,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,small_appliances,337,369,169092.08,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,luggage_accessories,82,82,2734.8,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,fixed_telephony,86,122,51025.76,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,construction_tools_safety,113,137,36629.2,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,drinks,56,112,11493.81,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,furniture_living_room,274,351,59196.69,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,market_place,80,82,2195.08,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,B_MEDIUM_VALUE,books_general_interest,80,92,5120.64,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,food_drink,117,131,3608.91,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,books_technical,100,100,2918.54,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,A_HIGH_VALUE,small_appliances_home_oven_and_coffee,51,52,45553.47,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,C_LOW_VALUE,signaling_and_security,34,47,885.52,PUBLISHABLE
