build_id,as_of_date,segmentation_version,value_segment,unit_segment,category_segment,customers,merchandise_gmv_brl,units,avg_distinct_categories,coverage_status
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,TWO_TO_THREE,SPECIALIST,5488,1420382.65,11939.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,ONE_ITEM,UNKNOWN,569,120957.64,569.0,0.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,C_LOW_VALUE,TWO_TO_THREE,SPECIALIST,864,28644.11,1788.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,TWO_TO_THREE,DIVERSIFIED,45,11608.06,135.0,3.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,B_MEDIUM_VALUE,TWO_TO_THREE,SPECIALIST,2084,151108.02,4393.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,FOUR_PLUS,SPECIALIST,776,368450.9,3996.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,C_LOW_VALUE,ONE_ITEM,UNKNOWN,351,10181.69,351.0,0.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,B_MEDIUM_VALUE,FOUR_PLUS,SPECIALIST,102,7410.41,470.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,B_MEDIUM_VALUE,ONE_ITEM,UNKNOWN,259,17593.66,259.0,0.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,FOUR_PLUS,DIVERSIFIED,67,28766.92,371.0,3.3134328358208953,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,B_MEDIUM_VALUE,ONE_ITEM,SPECIALIST,24833,1705749.68,24833.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,C_LOW_VALUE,ONE_ITEM,SPECIALIST,21629,618369.14,21629.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,FOUR_PLUS,MIXED,167,66696.39,808.0,2.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,B_MEDIUM_VALUE,TWO_TO_THREE,MIXED,338,25424.79,710.0,2.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,ONE_ITEM,SPECIALIST,34107,8225522.4,34107.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,C_LOW_VALUE,FOUR_PLUS,SPECIALIST,35,1153.12,176.0,1.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,TWO_TO_THREE,MIXED,1470,393520.58,3239.0,2.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,A_HIGH_VALUE,TWO_TO_THREE,UNKNOWN,52,12200.51,112.0,0.0,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,C_LOW_VALUE,TWO_TO_THREE,MIXED,57,2096.6,116.0,2.0,PUBLISHABLE
