build_id,as_of_date,month_start,orders,customers,delivered_orders,failed_orders,merchandise_gmv_brl,freight_value_brl,units,avg_order_value_brl,avg_review_score,late_delivery_rate
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-03-01,7211,7115,7003,43,953356.25,167241.99,8017.0,136.13540625446237,3.8132556131260795,0.21362273311437954
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-09-01,4285,4212,4150,58,607399.67,93677.82,4737.0,146.36136626506024,4.267484215638659,0.052048192771084335
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-04-01,6939,6882,6798,20,973534.09,159344.84,7827.0,143.20889820535453,4.2062351895734595,0.05310385407472786
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-03-01,2682,2642,2546,65,359198.85,55132.1,2897.0,141.0836017282011,4.187376335575782,0.05577376276512176
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-02-01,1780,1755,1653,62,234223.4,37015.92,1858.0,141.69594676346037,4.202678027997566,0.03206291591046582
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2016-12-01,1,1,1,0,10.9,8.72,1.0,10.9,5.0,0.0
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-10-01,4,4,0,4,,,,,,
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-02-01,6728,6569,6555,103,826437.13,139731.28,7518.0,126.0773653699466,3.8817171251472775,0.15987795575896263
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-06-01,6167,6128,6099,22,856077.86,155900.43,7010.0,140.36364322020003,4.306995884773663,0.013615485564304463
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-11-01,7544,7430,7289,121,987765.37,165598.83,8475.0,135.51452462614898,3.988878143133462,0.1431119648737651
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-01-01,7269,7166,7069,82,924645.0,153242.46,8037.0,130.80280096194653,4.108726650506203,0.06563870420144292
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2016-09-01,4,4,1,2,134.97,8.49,3.0,134.97,1.0,1.0
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-09-01,16,14,0,15,,,,,,
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-08-01,6512,6460,6351,91,838576.64,146915.0,7142.0,132.03851991812314,4.3103475513428124,0.10392064241851677
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-05-01,3700,3625,3546,60,489338.25,77513.15,4004.0,137.99725042301185,4.238487777146106,0.03610719322990127
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-01-01,800,765,750,13,111798.36,15684.01,913.0,149.06448,4.199055330634278,0.030666666666666665
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-05-01,6873,6814,6749,40,977544.69,151229.83,7810.0,144.8428937620388,4.236239214519488,0.08238257519632539
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2016-10-01,324,321,265,31,40325.11,6165.55,313.0,152.17022641509433,4.011450381679389,0.011320754716981131
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-10-01,4631,4561,4478,84,648247.65,102869.36,5214.0,144.76276239392587,4.205240665766982,0.05292541313086199
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-07-01,6292,6230,6159,59,867953.46,159853.82,6963.0,140.92441305406723,4.318085280182976,0.04483430799220273
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-07-01,4026,3947,3872,80,481604.52,84694.56,4416.0,124.3813326446281,4.258415755682804,0.034349173553719005
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-04-01,2404,2372,2303,27,340669.68,50142.72,2569.0,147.9243074250977,4.137554585152839,0.07859313938341293
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-12-01,5673,5603,5513,53,726033.19,117045.1,6187.0,131.69475603119898,4.0895440395531955,0.08380192272809722
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-08-01,4331,4246,4193,59,554699.7,91132.66,4797.0,132.29184354877177,4.3115246098439375,0.03315048891008824
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-06-01,3245,3180,3135,40,421923.37,68127.0,3489.0,134.58480701754385,4.222918675666988,0.03859649122807018
